num_topics, beta, max_bleu, max_jaccard, max_cos, max_fscore
45,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.006803959131545339,0.008135630695092847,0.49247473,nan
45,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.007008237232289951,0.008452576550062336,0.49028647,nan
45,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.007140944091061264,0.008634506247464379,0.48914108,nan
45,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.0074648382559774976,0.009106007217717309,0.48639056,nan
45,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.00757834757834758,0.009138952990492144,0.49064687,nan
45,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.008660423452768731,0.010664244112495003,0.48512042,nan
45,[1. 1. 1. ... 1. 1. 1.],0.008927304964539006,0.01090025885409223,0.48870343,nan
46,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.006555555555555554,0.007800913166667824,0.4875442,nan
46,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.00673905890095426,0.008049382648466143,0.4847645,nan
46,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.006866621983914207,0.008231250234248186,0.48378125,nan
46,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.007275947573503366,0.008803493954110066,0.4815493,nan
46,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.0074199225624780015,0.008967337902541568,0.48288193,nan
46,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.008219232291254451,0.01023122450988873,0.47955585,nan
46,[1. 1. 1. ... 1. 1. 1.],0.008475867908552075,0.01046647841684035,0.4834967,nan
47,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.006561910747957258,0.007791300365871952,0.48791608,nan
47,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.006820696387894567,0.008153012360760202,0.48708987,nan
47,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.006868186323092171,0.008220716537012996,0.48505098,nan
47,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.007258064516129033,0.00875981978966464,0.47920555,nan
47,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.007341727876880028,0.00881263607581412,0.48243177,nan
47,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.007898410236525785,0.009795743898053058,0.48185557,nan
47,[1. 1. 1. ... 1. 1. 1.],0.008583333333333335,0.010568587789434512,0.48668972,nan
48,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.0065328467153284685,0.007776104985363102,0.48533735,nan
48,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.006726584673604541,0.008050759137876597,0.48398197,nan
48,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.006774400000000001,0.008134282452904705,0.48227656,nan
48,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.007222598105548039,0.008791654719241225,0.4855014,nan
48,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.007358747447243023,0.008903472376749063,0.49045762,nan
48,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.00800076599004213,0.009962050904397276,0.4924145,nan
48,[1. 1. 1. ... 1. 1. 1.],0.008600330305532618,0.010665836004082658,0.5028976,nan
49,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.006526062066887618,0.007841913464176167,0.4819979,nan
49,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.006691588785046729,0.008113965820452644,0.48387676,nan
49,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.006935329722841669,0.008424939596480148,0.48346755,nan
49,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.007178451178451177,0.008786831661910742,0.48005882,nan
49,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.007347915242652086,0.008908939990215768,0.48516342,nan
49,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.008144486692015208,0.010002983597104805,0.4883227,nan
49,[1. 1. 1. ... 1. 1. 1.],0.008659240924092409,0.010428099948209108,0.5028223,nan
50,[0.001 0.001 0.001 ... 0.001 0.001 0.001],0.006428571428571428,0.007677852383510252,0.50163114,nan
50,[0.005 0.005 0.005 ... 0.005 0.005 0.005],0.006613545816733068,0.007936526922140346,0.49847397,nan
50,[0.01 0.01 0.01 ... 0.01 0.01 0.01],0.006705955334987594,0.008076028060094274,0.49476773,nan
50,[0.05 0.05 0.05 ... 0.05 0.05 0.05],0.007089478859390364,0.008637855169851712,0.49281788,nan
50,[0.1 0.1 0.1 ... 0.1 0.1 0.1],0.007081134564643798,0.008539008098678106,0.49452183,nan
50,[0.5 0.5 0.5 ... 0.5 0.5 0.5],0.007917282127031019,0.009815499191638904,0.49450415,nan
50,[1. 1. 1. ... 1. 1. 1.],0.008541749900119857,0.01053519022808096,0.4995564,nan
