Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
14,0.003,0.589233248,-1.561929963,0.374259401,0.079370238
14,0.25,0.589062415,-1.502671546,0.351896475,0.078014343
17,0.4,0.588974335,-1.601083645,0.267966164,0.076777813
14,0.24,0.588940705,-1.510229583,0.351289259,0.077950648
17,0.42,0.588791055,-1.599601868,0.253531714,0.07625158
14,0.008,0.58878747,-1.553021227,0.373068196,0.079297567
14,0.009,0.58878747,-1.554031698,0.373068196,0.079297567
31,0.006,0.588643397,-1.605544735,0.393279894,0.082295562
17,0.35,0.588523726,-1.596640688,0.294619216,0.07792411
14,0.26,0.588338025,-1.477865983,0.345949143,0.077681182
14,0.006,0.588228238,-1.549842546,0.36979452,0.078909998
14,0.007,0.588228238,-1.55021379,0.36979452,0.078909998
14,0.004,0.588228238,-1.550865162,0.36979452,0.078909998
14,0.005,0.588228238,-1.550865162,0.36979452,0.078909998
40,0.44,0.588078758,-3.41052041,-0.829987792,0.049271981
17,0.43,0.588056843,-1.623939193,0.252929231,0.076730005
40,0.45,0.588019003,-3.359846309,-0.820751605,0.050091445
17,0.34,0.587879901,-1.601844437,0.295468856,0.077811377
40,0.51,0.587839772,-3.467149583,-0.873005813,0.048952707
15,0.13,0.587766708,-1.537444153,0.36585352,0.080825749
17,0.44,0.5877446,-1.603225456,0.250157293,0.076409127
40,0.49,0.587740025,-3.411796078,-0.846757869,0.049534654
40,0.53,0.587663809,-3.444985424,-0.894734367,0.048580368
40,0.38,0.587629374,-3.221869413,-0.811227976,0.046184183
14,0.34,0.587461415,-1.50293274,0.369910344,0.080553927
20,0.6,0.587367234,-2.348371524,0.038160273,0.077199188
14,0.32,0.587325751,-1.485897493,0.384417736,0.080633501
31,0.005,0.587190585,-1.609916775,0.381083892,0.081424712
14,0.31,0.587092091,-1.494659937,0.358021168,0.079698247
14,0.33,0.587089567,-1.492712886,0.370678481,0.080391572
14,0.36,0.586749317,-1.543026672,0.363660146,0.081609925
20,0.34,0.586526923,-2.154025945,0.006881627,0.069377581
17,0.45,0.586253363,-1.629924648,0.246627105,0.07615247
17,0.33,0.586235583,-1.587568684,0.292652176,0.076815255
31,0.008,0.586199479,-1.611062302,0.391496328,0.081736849
31,0.003,0.586114079,-1.584695417,0.39900547,0.081714037
