Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
115,0.005,0.390492495,-2.978254055,-2.526276963,-0.061348012
115,0.001,0.388593371,-2.998861286,-2.538022323,-0.062226883
110,0.01,0.391243657,-3.093402356,-2.561904873,-0.062256626
120,0.005,0.387914464,-3.014911825,-2.539049053,-0.062268353
105,0.001,0.384598411,-3.065606382,-2.549072265,-0.062668221
105,0.001,0.384598411,-3.065606382,-2.549072265,-0.062668221
115,0.01,0.389006079,-3.049826052,-2.562610941,-0.062736214
120,0.001,0.389015748,-3.055896577,-2.546282596,-0.062838683
64,0.5,0.432599559,-3.913609607,-2.864398931,-0.063822421
66,0.5,0.431451804,-3.921321756,-2.881542284,-0.064195633
105,0.005,0.383922348,-3.097529494,-2.60273929,-0.064543993
63,0.6,0.441465388,-4.175297203,-2.924361974,-0.065131364
110,0.05,0.390895925,-3.167910855,-2.644680483,-0.065304731
120,0.01,0.388827733,-3.097883977,-2.629064004,-0.065366072
105,0.01,0.38121218,-3.0980506,-2.62064169,-0.065411175
100,0.1,0.382072568,-3.177752873,-2.64336138,-0.065447622
125,0.001,0.39032908,-3.13875636,-2.628255269,-0.065585775
67,0.4,0.416556277,-3.728251253,-2.860417625,-0.065607417
70,0.5,0.429040247,-3.87203048,-2.93248878,-0.066344817
60,0.5,0.422671361,-3.503108823,-2.862977753,-0.066456914
60,0.5,0.422671361,-3.503108823,-2.862977753,-0.066456914
125,0.005,0.389022824,-3.177627768,-2.664028195,-0.066921955
50,1,0.444047735,-4.968825188,-3.03073852,-0.067027778
62,0.5,0.427713086,-3.77666322,-2.897929325,-0.067200453
115,0.05,0.390960201,-3.144329188,-2.677553654,-0.06770184
105,0.05,0.381715173,-3.177912235,-2.712084671,-0.068819686
125,0.01,0.389407049,-3.206076258,-2.719072575,-0.069277731
64,0.6,0.438573717,-4.328265911,-3.013842124,-0.069301725
130,0.01,0.384918318,-3.194264177,-2.747778572,-0.070869078
68,0.5,0.427748506,-3.772703694,-3.006003932,-0.071006857
130,0.001,0.388070807,-3.206371836,-2.751563958,-0.071054389
65,0.5,0.418771008,-3.837142444,-3.03786753,-0.071410855
65,0.5,0.418771008,-3.837142444,-3.03786753,-0.071410855
130,0.005,0.388167882,-3.218046629,-2.777757654,-0.071823776
120,0.05,0.388845764,-3.210681972,-2.814179988,-0.072512381
62,0.6,0.441303189,-4.092164052,-3.087969552,-0.073639434
69,0.5,0.426553927,-4.100610585,-3.070777575,-0.073671638
135,0.001,0.382346222,-3.279653712,-2.83622315,-0.07374362
67,0.5,0.424369203,-4.130657211,-3.114441433,-0.073824964
75,0.5,0.432703747,-4.450715617,-3.160341889,-0.074131727
135,0.01,0.381319305,-3.27932664,-2.84064262,-0.074164808
125,0.05,0.387939427,-3.300702404,-2.841200081,-0.074186955
61,0.7,0.442818918,-4.477029694,-3.126139768,-0.07455057
130,0.05,0.38775248,-3.306004709,-2.868374823,-0.074598578
140,0.001,0.389036814,-3.330768702,-2.877527811,-0.074903017
135,0.005,0.383333056,-3.28856899,-2.883570099,-0.075269038
66,0.6,0.44720521,-4.398827541,-3.181714344,-0.075422148
110,0.1,0.392898611,-3.494312855,-2.962471021,-0.075864693
65,0.6,0.435724464,-4.163226807,-3.182663884,-0.075900572
105,0.1,0.383340704,-3.448916789,-2.948722956,-0.077290769
140,0.005,0.386616266,-3.376725915,-2.947671575,-0.077336643
115,0.1,0.386335883,-3.438384451,-2.971891977,-0.077396379
67,0.6,0.442073399,-4.551224136,-3.246982189,-0.077421194
64,0.7,0.448103185,-4.821941943,-3.229548725,-0.077456698
145,0.001,0.388784431,-3.373446673,-2.970090078,-0.078468721
135,0.05,0.379078624,-3.357222693,-2.959832563,-0.078722135
145,0.005,0.390776009,-3.387981603,-2.976960031,-0.078855311
140,0.01,0.384630426,-3.391407076,-3.003761247,-0.080037582
145,0.01,0.388659485,-3.43596067,-3.019584515,-0.080367156
69,0.6,0.43596827,-4.462189711,-3.270843941,-0.080626732
63,0.7,0.449127123,-4.788878368,-3.348025221,-0.081476527
60,0.6,0.429495103,-4.013105279,-3.274962483,-0.081477768
68,0.6,0.440195114,-4.283883963,-3.319858801,-0.082141054
62,0.7,0.450732388,-4.685103277,-3.366683671,-0.082366895
66,0.7,0.454240342,-4.910412493,-3.435573274,-0.083476641
120,0.1,0.39159957,-3.544851691,-3.13474128,-0.083673839
130,0.1,0.393553256,-3.838353392,-3.152439195,-0.083779296
65,0.7,0.454313815,-4.833004583,-3.432689331,-0.084044087
125,0.1,0.39265304,-3.685313176,-3.135128944,-0.084166006
67,0.7,0.459419604,-4.978443987,-3.439715467,-0.084596003
55,1,0.463157077,-5.599344324,-3.463380015,-0.084641492
80,0.5,0.422496869,-4.697784904,-3.435173408,-0.085029467
140,0.05,0.382386402,-3.548648905,-3.127120623,-0.085063409
69,0.7,0.445844483,-4.893317857,-3.413302936,-0.085360367
145,0.05,0.384603885,-3.53273605,-3.143815873,-0.085455126
85,0.5,0.430970079,-4.880526208,-3.495749093,-0.087200337
61,0.8,0.453347094,-5.099004061,-3.481542646,-0.087931842
150,0.001,0.385470705,-3.499809467,-3.170541771,-0.088096802
61,0.9,0.462965767,-5.5597927,-3.563124174,-0.088412355
68,0.7,0.448034855,-4.69819457,-3.528021705,-0.08892787
150,0.005,0.382175904,-3.526889873,-3.217093746,-0.090043086
66,0.9,0.463565604,-5.862828514,-3.618151541,-0.090474049
63,0.8,0.464098892,-5.283934232,-3.632157805,-0.090953509
62,0.8,0.46791841,-5.278863095,-3.634435587,-0.091313569
150,0.01,0.384070493,-3.578220295,-3.268602049,-0.091404454
60,0.7,0.449629255,-4.62062808,-3.562203885,-0.091496994
160,0.01,0.385835684,-3.672300049,-3.305098575,-0.092271603
160,0.01,0.385835684,-3.672300049,-3.305098575,-0.092271603
160,0.001,0.386238297,-3.714080468,-3.300280251,-0.092298451
160,0.001,0.386238297,-3.714080468,-3.300280251,-0.092298451
66,1,0.476193288,-6.515900323,-3.689409428,-0.09260073
65,0.8,0.458796804,-5.380433844,-3.675241116,-0.092957345
66,0.8,0.456862641,-5.602384484,-3.663492826,-0.093903599
160,0.005,0.385009034,-3.729911666,-3.338693204,-0.093937731
160,0.005,0.385009034,-3.729911666,-3.338693204,-0.093937731
64,0.8,0.452976916,-5.477606526,-3.675596484,-0.094269456
135,0.1,0.384718356,-3.843295133,-3.359950715,-0.094441368
63,0.9,0.471371895,-5.900587789,-3.748504806,-0.094831601
155,0.001,0.381004179,-3.619277312,-3.357172075,-0.094884481
155,0.001,0.381004179,-3.619277312,-3.357172075,-0.094884481
155,0.001,0.381004179,-3.619277312,-3.357172075,-0.094884481
155,0.001,0.381004179,-3.619277312,-3.357172075,-0.094884481
63,1,0.466849629,-6.20634661,-3.769427244,-0.09508607
69,0.9,0.466568802,-6.276255546,-3.769481087,-0.09510938
67,0.8,0.461683297,-5.643260646,-3.718552042,-0.095268536
155,0.01,0.381368528,-3.633120866,-3.38838873,-0.095692687
155,0.01,0.381368528,-3.633120866,-3.38838873,-0.095692687
155,0.01,0.381368528,-3.633120866,-3.38838873,-0.095692687
62,0.9,0.469250417,-5.896478874,-3.748792897,-0.095764853
64,0.9,0.46250864,-5.99168547,-3.735266981,-0.095956595
80,1,0.472366058,-7.528796619,-3.862595557,-0.096224507
69,0.8,0.462539038,-5.659572877,-3.769066376,-0.096234312
145,0.1,0.391906106,-4.077493422,-3.475961999,-0.096268793
85,1,0.476479578,-8.161731711,-3.780738784,-0.096503427
115,1,0.458934863,-9.661582786,-3.70967014,-0.097211037
155,0.005,0.381884222,-3.656695294,-3.425144023,-0.097310614
155,0.005,0.381884222,-3.656695294,-3.425144023,-0.097310614
155,0.005,0.381884222,-3.656695294,-3.425144023,-0.097310614
