Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
20,0.01,0.540667752,-2.344622615,-1.180519076,0.025671401
16,0.07,0.544729288,-2.511381699,-1.234581533,0.025665419
16,0.04,0.541024173,-2.453052812,-1.252702289,0.025500286
17,0.05,0.564257359,-2.691990344,-1.41347786,0.025082992
15,0.2,0.544508137,-2.779511184,-1.307414814,0.024920928
20,0.005,0.536784188,-2.340488578,-1.175237346,0.024762669
20,0.005,0.536784188,-2.340488578,-1.175237346,0.024762669
20,0.001,0.535163231,-2.371647277,-1.180289718,0.024370127
18,0.005,0.542661592,-2.559693774,-1.193659897,0.023827335
8,0.5,0.527559846,-2.242862559,-1.07507926,0.023666418
17,0.04,0.568945746,-2.741555914,-1.457093236,0.023464055
11,0.7,0.543047319,-2.713922168,-1.422737158,0.023452622
8,0.4,0.522756801,-2.240078123,-1.119307898,0.023450436
34,0.06,0.566556928,-2.309300609,-1.258239087,0.023433109
34,0.02,0.56407572,-2.355659138,-1.255300485,0.023329534
8,0.3,0.515033395,-2.295319889,-1.15441598,0.023147154
11,0.8,0.55193161,-2.798704495,-1.492110803,0.022956311
15,0.09,0.557453817,-2.91492099,-1.291339736,0.022786969
11,0.5,0.540916185,-2.520248732,-1.320267234,0.022711978
29,0.03,0.536938728,-2.229278937,-1.310547187,0.022699017
11,0.4,0.527774287,-2.464974437,-1.269703606,0.022669804
16,0.005,0.540805071,-2.38003419,-1.264521111,0.022608468
16,0.01,0.540050946,-2.366284725,-1.254178258,0.022293451
18,0.01,0.543806202,-2.621762593,-1.250194077,0.022273593
22,0.005,0.530817579,-2.6602192,-1.424733592,0.022187827
34,0.05,0.565457358,-2.317223883,-1.241276233,0.022155308
18,0.02,0.542483064,-2.554211272,-1.243200736,0.022058575
10,0.9,0.549124864,-2.921045898,-1.51458935,0.021890873
8,0.02,0.531873404,-2.571300365,-1.182581421,0.02181114
28,0.02,0.540451789,-2.304965565,-1.384239161,0.021617141
19,0.005,0.516187733,-2.239468314,-1.199544385,0.021277916
30,0.04,0.532555407,-2.176432386,-1.215193296,0.021246733
32,0.01,0.550672917,-2.38647453,-1.294096308,0.021245104
16,0.02,0.536097258,-2.397212975,-1.289085245,0.021173663
37,0.03,0.530863004,-2.334863725,-1.339106174,0.020805665
13,0.5,0.538720103,-2.714683405,-1.467940194,0.020708394
8,0.03,0.524135667,-2.643082712,-1.211498475,0.020519996
10,0.6,0.540641715,-2.554680093,-1.407444598,0.020508915
17,0.07,0.557666246,-2.641034735,-1.449830376,0.020383066
31,0.02,0.541606776,-2.341903423,-1.304246203,0.02029121
18,0.03,0.541105423,-2.560646392,-1.274940709,0.020138648
29,0.02,0.537599753,-2.256722544,-1.362947928,0.020035669
34,0.04,0.560945843,-2.345228445,-1.288882605,0.019820601
34,0.005,0.548952056,-2.375296456,-1.314042799,0.019767804
