Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
110,150,0.707752061,-3.067038844,2.801099025,0.262304152
110,175,0.686576589,-2.685252961,2.619870261,0.243901747
110,200,0.608971946,-2.344593031,1.853352001,0.182746515
74,0.8,0.419605244,-5.846734193,-4.241574139,-0.118409163
79,0.7,0.419111569,-5.693462713,-4.269779888,-0.119955121
72,0.7,0.41885157,-5.24718756,-3.998571248,-0.110273718
100,0.5,0.418257556,-5.584970694,-4.244610007,-0.12231582
100,0.5,0.418257556,-5.584970694,-4.244610007,-0.12231582
100,0.5,0.418257556,-5.584970694,-4.244610007,-0.12231582
40,0.05,0.418069113,-2.192431448,-0.539500319,0.016064533
115,5,0.358356064,-10.07622003,-2.89391494,-0.075223421
115,10,0.357044053,-8.532725663,-2.987853887,-0.079412593
115,25,0.335940237,-7.134822041,-2.346676532,-0.054201665
115,50,0.398967458,-4.349706614,-1.38765658,-0.005926244
115,75,0.577701916,-3.355682651,1.023044008,0.145423306
115,100,0.582154638,-3.19828493,1.259850222,0.158090933
115,125,0.737987053,-3.275140554,3.018008302,0.277864315
115,150,0.726355917,-2.951797228,2.918341044,0.267960568
115,175,0.659397328,-2.793832184,2.252513581,0.219401752
115,200,0.556746333,-2.609458342,1.314191117,0.148334439
45,1,0.418021194,-4.521375543,-2.829397311,-0.065027518
76,0.7,0.416828886,-5.536706417,-4.224100953,-0.120181632
79,0.6,0.415605234,-5.248187157,-4.064821453,-0.11237304
71,0.7,0.415571678,-5.152139417,-4.013929285,-0.11150431
90,0.5,0.414680257,-5.250322378,-4.077067804,-0.116099278
78,0.7,0.414103239,-5.465803531,-4.323104815,-0.124051449
105,0.5,0.41338793,-5.846545809,-4.485215556,-0.13282663
120,5,0.36940267,-10.57096393,-2.842432373,-0.072835315
120,10,0.344186765,-9.352159008,-3.007123769,-0.081321593
120,25,0.344016656,-6.548401082,-2.184189909,-0.046798438
120,50,0.410122694,-4.112733303,-1.398113229,-0.004687399
120,75,0.552892853,-3.337694741,0.780229074,0.124808327
120,100,0.603193466,-2.988334229,1.601668955,0.17448682
120,125,0.730318282,-3.376191946,3.103143814,0.283099396
120,150,0.718859979,-3.059792895,3.02460006,0.273565156
120,175,0.664397819,-2.755111863,2.47332377,0.234003298
120,200,0.548586821,-2.533092885,1.29548655,0.145488464
105,0.5,0.41338793,-5.846545809,-4.485215556,-0.13282663
40,0.1,0.413245402,-2.216742689,-0.600996358,0.013361237
75,0.7,0.413242036,-5.392963291,-4.047011826,-0.111522633
70,0.7,0.413020213,-5.321852453,-4.024619745,-0.112480563
65,0.5,0.412435587,-4.130768853,-3.252745438,-0.085681245
30,1,0.412432476,-2.848460834,-1.385314749,-0.009921257
74,0.7,0.412306751,-5.29359544,-4.046804697,-0.112915391
125,5,0.365495123,-9.907401005,-3.043925771,-0.081550623
125,10,0.351255993,-8.207911361,-2.763493761,-0.068616039
125,25,0.357939813,-6.001567315,-2.327738689,-0.05178294
125,50,0.435875053,-4.266838001,-0.903147844,0.019781773
125,75,0.601868563,-3.466898265,1.477082313,0.171161338
125,100,0.63001493,-2.866247894,1.845701801,0.186176917
125,125,0.747618777,-3.115330198,3.282862606,0.286774358
125,150,0.745062058,-2.725840159,3.217548618,0.283065124
125,175,0.678004816,-2.463143616,2.618677387,0.236733761
125,200,0.549997516,-2.275138261,1.347767952,0.142070927
45,0.5,0.41175817,-3.074376849,-1.87010287,-0.031060925
40,1,0.411737739,-3.846548528,-2.417068611,-0.047526581
95,0.5,0.409435809,-5.051880848,-4.202402664,-0.121150141
78,0.6,0.408245234,-5.113485177,-4.142584869,-0.118486846
76,0.5,0.407916586,-4.627103363,-3.715092885,-0.102730278
77,0.7,0.407033753,-5.311033428,-4.29703616,-0.122243076
80,0.6,0.405257034,-4.813269805,-3.879624106,-0.10810056
130,5,0.35307811,-10.05578845,-3.012112533,-0.083529178
130,10,0.344383889,-8.443071812,-2.81424363,-0.072416274
130,25,0.349594856,-6.159526222,-2.399927837,-0.055853657
130,50,0.416900934,-4.03297509,-1.240866782,0.00150304
130,75,0.587474227,-3.085745153,1.374411084,0.161547183
130,100,0.582901187,-3.101545621,1.458553786,0.167294985
130,125,0.739220524,-3.165818547,3.192647784,0.284504555
130,150,0.708333738,-2.867060532,2.946314365,0.265548585
130,175,0.613202896,-2.648425694,2.084338031,0.200969113
130,200,0.500821243,-2.451816887,0.824764382,0.112097481
73,0.6,0.405169849,-4.785517288,-3.795438739,-0.103102637
70,0.6,0.404989415,-4.534797414,-3.648860915,-0.098156087
74,0.6,0.404688013,-4.872194812,-3.877723438,-0.107803832
45,0.01,0.404317457,-2.299348138,-0.941318616,-0.001763247
45,0.001,0.404236741,-2.276700676,-0.905883612,-0.000461736
45,0.005,0.403786147,-2.285348222,-0.907856684,-0.000555046
71,0.6,0.403433004,-4.612940454,-3.76476995,-0.103998069
135,5,0.354199895,-10.01118426,-2.995935369,-0.079893654
135,10,0.340176157,-8.422251752,-2.996749931,-0.080502949
135,25,0.344655645,-5.728538052,-2.410272141,-0.05786178
135,50,0.415357757,-4.106105971,-1.174703874,0.003198693
135,75,0.558986232,-3.584135162,0.969971149,0.139969907
135,100,0.703042124,-3.649019431,2.454168042,0.246104059
135,125,0.701587019,-3.229624937,2.584150149,0.248740826
135,150,0.666386602,-2.871211056,2.303037056,0.227077962
135,175,0.596229007,-2.541774598,1.726546468,0.178488116
135,200,0.489795903,-2.484093515,0.712644372,0.102278418
65,0.001,0.402416066,-2.662120684,-1.701653109,-0.030749692
65,0.005,0.40226931,-2.647374334,-1.663649851,-0.029428278
72,0.6,0.402031007,-4.681363074,-3.903166059,-0.108724052
70,0.5,0.401792353,-4.170670057,-3.353429949,-0.088605195
70,0.5,0.401792353,-4.170670057,-3.353429949,-0.088605195
65,0.01,0.401029085,-2.661683159,-1.701496843,-0.030828599
85,0.5,0.400682084,-4.871549576,-3.974095894,-0.11116613
140,5,0.353883914,-9.745947163,-2.824329278,-0.074293639
140,10,0.345460886,-8.252196837,-2.839901198,-0.073266483
140,25,0.313908214,-5.991570958,-2.528120057,-0.065942124
140,50,0.422072892,-3.968546448,-1.00349533,0.013411404
140,75,0.583834366,-2.988025765,1.187189754,0.150975435
140,100,0.603064964,-2.99723797,1.567014079,0.170185709
140,125,0.744521124,-2.679838874,3.130285504,0.279341746
140,150,0.701785424,-2.490004884,2.768646956,0.249058617
140,175,0.60812505,-2.511162877,1.838422703,0.184911614
140,200,0.49719944,-2.422951153,0.802880916,0.10720026
65,0.05,0.400133075,-2.641694737,-1.708751705,-0.031185316
74,0.5,0.398868311,-4.366570684,-3.519717432,-0.09375153
79,0.5,0.398859981,-4.598955732,-3.667856488,-0.099157787
71,0.5,0.398060568,-4.162702614,-3.429524937,-0.091824178
40,0.5,0.398001423,-2.822489502,-1.697683289,-0.024264848
55,0.5,0.397669161,-3.470429669,-2.495801826,-0.055309488
75,0.6,0.39712273,-4.701391134,-3.758544423,-0.100658297
145,5,0.368830499,-9.567361294,-2.761470485,-0.071486434
145,10,0.328656578,-8.179125026,-2.907011516,-0.08030679
145,25,0.347113861,-5.249889448,-2.395164718,-0.057325657
145,50,0.452308562,-3.497995173,-0.755710346,0.030121224
145,75,0.584414899,-2.852630001,1.151637853,0.148577305
145,100,0.586237597,-2.767566927,1.497375635,0.162413658
